Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"2-digit level HCFMD Family Household Composition (Dwelling) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default summation","Dwelling Records"

"Counting","2-digit level HCFMD Family Household Composition (Dwelling)","TEND Tenure Type","Count",
"Dwelling Records","Two family household: Couple family with children","Not applicable",0
"Dwelling Records","Two family household: Couple family with children","Total",86322
"Dwelling Records","Two family household: Couple family with no children","Owned outright",12055
"Dwelling Records","Two family household: Couple family with no children","Owned with a mortgage",12568
"Dwelling Records","Two family household: Couple family with no children","Purchased under a shared equity scheme",31
"Dwelling Records","Two family household: Couple family with no children","Rented",5947
"Dwelling Records","Two family household: Couple family with no children","Occupied rent free",251
"Dwelling Records","Two family household: Couple family with no children","Occupied under a life tenure scheme",29
"Dwelling Records","Two family household: Couple family with no children","Other",63
"Dwelling Records","Two family household: Couple family with no children","Not stated",433
"Dwelling Records","Two family household: Couple family with no children","Not applicable",0
"Dwelling Records","Two family household: Couple family with no children","Total",31385
"Dwelling Records","One family household: Other family","Owned outright",30866
"Dwelling Records","One family household: Other family","Owned with a mortgage",21089
"Dwelling Records","One family household: Other family","Purchased under a shared equity scheme",170
"Dwelling Records","One family household: Other family","Rented",49571
"Dwelling Records","One family household: Other family","Occupied rent free",1851
"Dwelling Records","One family household: Other family","Occupied under a life tenure scheme",358
"Dwelling Records","One family household: Other family","Other",325
"Dwelling Records","One family household: Other family","Not stated",2676
"Dwelling Records","One family household: Other family","Not applicable",0
"Dwelling Records","One family household: Other family","Total",106899
"Dwelling Records","One family household: One parent family","Owned outright",216298
"Dwelling Records","One family household: One parent family","Owned with a mortgage",284310
"Dwelling Records","One family household: One parent family","Purchased under a shared equity scheme",1783
"Dwelling Records","One family household: One parent family","Rented",451970
"Dwelling Records","One family household: One parent family","Occupied rent free",7638
"Dwelling Records","One family household: One parent family","Occupied under a life tenure scheme",1541
"Dwelling Records","One family household: One parent family","Other",1983
"Dwelling Records","One family household: One parent family","Not stated",13332
"Dwelling Records","One family household: One parent family","Not applicable",0
"Dwelling Records","One family household: One parent family","Total",978859
"Dwelling Records","One family household: Couple family with children","Owned outright",508486
"Dwelling Records","One family household: Couple family with children","Owned with a mortgage",1636723
"Dwelling Records","One family household: Couple family with children","Purchased under a shared equity scheme",2120
"Dwelling Records","One family household: Couple family with children","Rented",630176
"Dwelling Records","One family household: Couple family with children","Occupied rent free",19958
"Dwelling Records","One family household: Couple family with children","Occupied under a life tenure scheme",849
"Dwelling Records","One family household: Couple family with children","Other",3566
"Dwelling Records","One family household: Couple family with children","Not stated",19951
"Dwelling Records","One family household: Couple family with children","Not applicable",0
"Dwelling Records","One family household: Couple family with children","Total",2821839
"Dwelling Records","Total","Owned outright",2932277
"Dwelling Records","Total","Owned with a mortgage",3244684
"Dwelling Records","Total","Purchased under a shared equity scheme",14278
"Dwelling Records","Total","Rented",2894786
"Dwelling Records","Total","Occupied rent free",98157
"Dwelling Records","Total","Occupied under a life tenure scheme",71379
"Dwelling Records","Total","Other",22653
"Dwelling Records","Total","Not stated",530212
"Dwelling Records","Total","Not applicable",1066819
"Dwelling Records","Total","Total",10875248

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. The sum of cells may differ to table totals. No reliance can be placed on small cells, as adjustments can have a greater impact."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
